date,AEP,AMZN,CAT,JPM,XOM
4/27/2011,27.58919743,196.63,93.13286443,38.16189536,71.51460322
4/28/2011,27.70342265,195.07,93.1576756,38.4554484,71.15613403
4/29/2011,27.7795728,195.81,95.44857369,38.27092934,71.67754376
5/2/2011,27.82526288,201.19,94.58845311,37.89350401,70.85469403
5/3/2011,28.13747848,198.45,93.67871018,38.51415901,69.75484539
5/4/2011,27.90141303,199.97,91.61111262,38.16189536,69.0949362
5/5/2011,27.91664306,197.11,90.46979877,37.88511678,67.31073728
5/6/2011,28.01563824,197.6,91.25548584,37.77608279,67.36776647
5/9/2011,28.13130975,200.8,92.34717735,37.70898495,67.76697079
5/10/2011,28.41663279,203.94,93.34789457,37.87672955,67.89732322
5/11/2011,28.42434422,204.38,90.9577518,37.09671718,66.47159349
5/12/2011,29.01812461,206.07,89.84124911,36.97929596,66.41423389
5/13/2011,28.97956744,202.56,87.93905936,36.19089637,66.26673775
5/16/2011,29.08752751,192.51,87.74056999,35.96444116,65.75050126
5/17/2011,29.95891951,194.81,84.42414351,36.74445353,65.88980317
5/18/2011,29.87409374,197.09,87.04585721,36.97090873,66.97963575
5/19/2011,29.67359647,198.805,87.08720917,36.90381089,67.46309532
5/20/2011,29.7275765,198.65,86.28498131,36.17412191,66.84033384
5/23/2011,29.60419356,196.22,84.2670061,35.68766258,66.10285315
5/24/2011,29.95891951,193.27,83.98581283,35.51153076,66.6108954
5/25/2011,29.71215363,192.26,85.39177917,35.45282015,67.15990881
5/26/2011,29.5887707,195,86.16919585,35.60379028,67.5122607
5/27/2011,29.55021353,194.13,86.50828185,35.8889561,67.70892222
5/31/2011,29.45767633,196.69,87.50072868,36.26638143,68.39723754
6/1/2011,29.31887052,192.395,83.72943073,35.02507143,67.21726842
6/2/2011,29.28031335,193.65,84.5151178,34.89926298,66.64367232
6/3/2011,28.92558741,188.32,83.61364527,34.86571407,66.52075887
6/6/2011,28.97956744,185.69,82.58811688,33.99344217,65.79147241
6/7/2011,28.97185601,187.55,82.60465766,34.15279954,65.55383974
6/8/2011,29.04125891,188.05,81.08290586,33.87602096,66.17660122
6/9/2011,28.88703024,189.68,82.09189346,34.37086751,66.52075887
6/10/2011,28.6248415,186.53,80.04910708,34.42957812,65.37356668
6/13/2011,28.63255293,186.29,78.93260439,34.94958636,64.92288403
6/14/2011,28.77907017,189.96,80.93403883,34.89506937,65.86522048
6/15/2011,28.47832426,185.98,79.10628259,34.11925062,64.45581292
6/16/2011,28.80220447,183.65,78.94914518,33.85085927,64.9146898
6/17/2011,29.02583604,186.37,79.3543943,34.21989738,64.7508052
6/20/2011,29.23404475,187.72,81.19869132,33.95150602,65.31620707
6/21/2011,29.21091045,194.23,83.85348658,34.3121569,66.02091085
6/22/2011,28.97956744,191.63,82.8279582,34.12763785,65.4063436
6/23/2011,28.7636473,194.16,83.1587738,33.6076296,64.27553986
6/24/2011,28.60941863,192.55,82.71217273,33.12117028,62.91529769
6/27/2011,28.7636473,201.25,83.36553356,33.44827224,63.84943991
6/28/2011,28.86389594,202.35,85.87973219,33.16310643,65.25065323
6/29/2011,28.97185601,204.18,85.48275346,33.92634433,65.75869549
6/30/2011,29.05668178,204.49,88.04657443,34.33731859,66.68464347
7/1/2011,29.44225346,209.49,89.83297872,35.08378204,67.20087996
7/5/2011,29.69673077,213.19,89.67584131,34.61971085,66.86491653
7/6/2011,29.68901933,214.19,91.0404557,34.22314092,66.84033384
7/7/2011,29.7044422,216.74,92.32236618,34.86440293,67.48767801
7/8/2011,29.57334783,218.28,91.31337858,34.37501877,67.53684339
7/11/2011,29.24175619,212.55,89.45254077,33.26968557,67.11074343
7/12/2011,29.42683059,211.23,88.43528277,33.23593493,67.1025492
7/13/2011,29.28031335,213.5,89.8495195,33.43000107,67.58600877
7/14/2011,28.97185601,210.38,88.97285814,34.0459501,67.38934725
7/15/2011,28.90245311,212.87,90.4449876,33.73375676,68.01210873
7/18/2011,28.61713006,211.53,89.53524468,33.60719189,67.72531068
7/19/2011,28.83305021,218.06,91.06349004,34.07970074,68.52834522
7/20/2011,28.99499031,215.55,91.61997069,34.56064724,68.25793563
7/21/2011,29.31887052,213.21,92.69140358,35.68285576,69.66734318
7/22/2011,29.07981608,216.52,87.33423912,35.59847918,69.83122778
7/25/2011,29.10295038,213.49,87.75782887,35.17659628,69.29860283
